Date,TEMPHELPS,TEMPHELPS_Delta,CREDITDELINQ,CREDITDELINQ_Delta,SEARCHTREND,SEARCHTREND_Delta,Minority_Unemployment,Minority_Unemployment_Delta,Community_College_Enrollment,Community_College_Enrollment_Delta,RecessionLabel
1975-01-01,1.0,0.0,0.0378494308322676,0.0,0.9269967175363436,0.0,0.5496714153011233,0.0,0.4378494308322676,0.0,1.0
1975-02-01,0.9914173358596378,-0.00858266414036224,0.0,-0.0378494308322676,0.915950472233902,-0.011046245302441582,0.4861735698828815,-0.06349784541824177,0.35389173379111877,-0.08395769704114886,1.0
1975-03-01,1.0,0.00858266414036224,0.0454836349034466,0.0454836349034466,0.9583672578345106,0.042416785600608575,0.5647688538100692,0.07859528392718773,0.44348029600528305,0.08958856221416428,1.0
1975-04-01,1.0,0.0,0.0707869012874929,0.025303266384046307,0.9923324431880712,0.033965185353560634,0.6523029856408026,0.08753413183073333,0.4677818929402476,0.02430159693496453,1.0
1975-05-01,0.9816145349366212,-0.018385465063378792,0.0246784229575122,-0.046108478329980704,0.9785545004131456,-0.013777942774925611,0.4765846625276664,-0.17571832311313618,0.42067174516118505,-0.04711014777906253,1.0
1975-06-01,0.979945906743526,-0.0016686281930952118,0.0988481378733123,0.0741697149158001,0.9870674563871912,0.008512955974045555,0.4765863043050819,1.6417774155175202e-06,0.49383979062790334,0.07316804546671829,1.0
1975-07-01,1.0,0.020054093256474004,0.0,-0.0988481378733123,0.9568092555395996,-0.030258200847591565,0.6579212815507391,0.18133497724565723,0.3613105400448214,-0.13252925058308196,0.0
1975-08-01,1.0,0.0,0.0,0.0,0.963550238767204,0.0067409832276044135,0.5767434729152909,-0.08117780863544821,0.33776726483442915,-0.023543275210392234,0.0
1975-09-01,0.9631706880488284,-0.03682931195117156,0.0,0.0,0.9292466592412796,-0.034303579525924444,0.4530525614065048,-0.12369091150878614,0.3110639875547861,-0.026703277279643056,0.0
1975-10-01,1.0,0.03682931195117156,0.0838172406161953,0.0838172406161953,1.0,0.07075334075872042,0.5542560043585965,0.10120344295209166,0.4748022155744592,0.16373822801967308,0.0
